2026/03/025 12:25:00;576
2026/03/025 12:25:00;576
2026/03/025 12:25:00;51
2026-04-23 00:08:00;1
2026-04-23 00:08:00;1
2026-04-23 00:08:00;1
2026-04-23 00:08:00;1
2026-04-23 00:08:00;0
2026-04-23 00:08:00;0
2026-04-23 00:08:00;0
2026-04-23 00:08:00;1
2026-05-13 10:15:18;1
2026-05-13 10:25:45;1
2026-05-13 10:25:50;1
2026-05-13 10:25:55;1
2026-05-13 10:26:00;1
2026-05-13 10:26:05;1
2026-05-13 10:26:10;1
2026-05-13 10:26:15;1
2026-05-13 10:26:20;1
2026-05-13 10:26:25;1
2026-05-13 10:26:30;1
2026-05-13 10:26:35;1
2026-05-13 10:26:40;1
2026-05-13 10:26:45;1
2026-05-13 10:26:50;1
2026-05-13 10:26:55;1
2026-05-13 10:27:00;1
2026-05-13 10:27:05;1
2026-05-13 10:27:10;1
2026-05-13 10:27:15;0
2026-05-13 10:27:20;0
2026-05-13 10:27:25;0
2026-05-13 10:27:30;0
2026-05-13 10:27:35;0
2026-05-13 10:27:40;1
2026-05-13 10:27:45;1
2026-06-21 22:06:12;1
2026-06-21 22:09:48;0
2026-06-21 22:13:45;1
2026-06-21 22:32:02;0
2026-06-21 22:53:28;1
2026-06-25 18:45:36;0
2026-06-25 18:45:38;0
2026-06-25 18:46:49;1
2026-06-25 18:46:59;0
